date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:33:40	72/72	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:W/%22658dcb7d7ffbd41:0%22	https://grandetest.com/robots.txt		(from )
08:33:41	57342/57342	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2010:44:48%20GMT	https://grandetest.com/theme/html-careerup/	grandetest.com/theme/html-careerup/index.html	(from )
08:33:42	153182/153182	---MCZ	200	added ('OK')	text/css	etag:W/%2207a34fe50f4d41:0%22	https://grandetest.com/theme/html-careerup/css/bootstrap.min.css	grandetest.com/theme/html-careerup/css/bootstrap.min.css	(from https://grandetest.com/theme/html-careerup/)
08:33:44	204447/204447	---MCZ	200	added ('OK')	text/css	etag:W/%2280b6733fedbfd51:0%22	https://grandetest.com/theme/html-careerup/css/style.css	grandetest.com/theme/html-careerup/css/style.css	(from https://grandetest.com/theme/html-careerup/)
08:33:45	23419/23419	---MCZ	200	added ('OK')	text/css	etag:W/%220bc3ad4cbf6d41:0%22	https://grandetest.com/theme/html-careerup/css/responsive.css	grandetest.com/theme/html-careerup/css/responsive.css	(from https://grandetest.com/theme/html-careerup/)
08:33:45	67646/67646	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2203d75ee77e8d41:0%22	https://grandetest.com/theme/html-careerup/images/favicon.ico	grandetest.com/theme/html-careerup/images/favicon.ico	(from https://grandetest.com/theme/html-careerup/)
08:33:46	3096/3096	---M--	200	added ('OK')	image/png	etag:%220d5ebe477e8d41:0%22	https://grandetest.com/theme/html-careerup/images/header-logo2.png	grandetest.com/theme/html-careerup/images/header-logo2.png	(from https://grandetest.com/theme/html-careerup/)
08:33:48	57342/57342	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2010:44:48%20GMT	https://grandetest.com/theme/html-careerup/index.html	grandetest.com/theme/html-careerup/index-2.html	(from https://grandetest.com/theme/html-careerup/)
08:33:48	1245/1245	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Mar%202020%2000:33:48%20GMT	https://grandetest.com/theme/html-careerup/index2.html	grandetest.com/theme/html-careerup/index2.html	(from https://grandetest.com/theme/html-careerup/)
08:33:51	52022/52022	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202019%2010:44:48%20GMT	https://grandetest.com/theme/html-careerup/index3.html	grandetest.com/theme/html-careerup/index3.html	(from https://grandetest.com/theme/html-careerup/)
